idCirconscription,nbElecteurs
10001,67394
10002,61204
10003,63632
10004,19822
10005,70808
10006,65194
10007,66541
11001,28614
11002,27798
11003,27573
11004,28304
12001,60511
12002,59113
12003,64574
12004,72619
12005,70615
12006,69532
12007,66149
12008,66961
12009,75542
12010,59515
12011,66510
13001,66384
13002,65796
13003,60028
13004,62508
13005,50682
13006,47925
13007,71038
13008,51193
13009,60678
13010,53641
24001,63088
24002,82779
24003,82850
24004,78209
24005,78504
24006,60726
24007,85481
24008,78430
24009,78520
24010,92328
24011,90994
24012,82704
24013,79228
24014,78647
24015,70761
24016,84914
24017,83492
24018,70028
24019,84457
24020,76339
24021,75848
24022,66591
24023,81772
24024,85432
24025,81250
24026,65474
24027,84036
24028,82646
24029,78596
24030,78559
24031,85851
24032,72718
24033,84525
24034,82236
24035,85256
24036,85628
24037,83711
24038,96578
24039,83733
24040,82147
24041,83648
24042,87030
24043,85671
24044,81034
24045,91918
24046,74977
24047,71397
24048,87519
24049,75436
24050,83424
24051,78377
24052,74179
24053,79369
24054,70304
24055,78401
24056,85060
24057,87127
24058,87578
24059,78984
24060,91910
24061,85526
24062,81361
24063,89265
24064,84153
24065,76079
24066,80560
24067,88315
24068,68933
24069,76427
24070,91962
24071,92128
24072,88273
24073,87246
24074,90471
24075,84232
24076,90843
24077,84114
24078,85791
35001,84212
35002,62395
35003,78414
35004,76576
35005,74901
35006,83506
35007,75715
35008,64308
35009,66904
35010,72778
35011,71622
35012,70077
35013,95985
35014,81789
35015,95257
35016,82604
35017,78882
35018,71453
35019,62432
35020,71467
35021,69944
35022,92173
35023,93110
35024,76765
35025,82560
35026,91511
35027,86966
35028,91534
35029,67596
35030,78572
35031,84976
35032,95128
35033,82331
35034,90897
35035,67771
35036,79798
35037,76616
35038,83906
35039,72338
35040,80047
35041,79244
35042,42256
35043,84439
35044,89343
35045,76433
35046,68385
35047,72104
35048,80410
35049,78435
35050,78864
35051,85523
35052,88307
35053,91895
35054,87080
35055,70123
35056,82084
35057,71383
35058,82102
35059,81379
35060,81697
35061,85867
35062,74037
35063,82639
35064,82330
35065,82735
35066,82115
35067,102271
35068,68658
35069,72598
35070,70489
35071,88736
35072,87647
35073,84978
35074,95408
35075,91479
35076,95548
35077,86068
35078,82716
35079,82679
35080,83209
35081,77778
35082,75315
35083,75733
35084,90631
35085,85384
35086,77713
35087,79859
35088,72873
35089,84201
35090,76887
35091,80268
35092,63351
35093,69640
35094,70164
35095,63587
35096,64465
35097,71403
35098,71716
35099,96635
35100,85871
35101,74014
35102,78440
35103,71349
35104,80701
35105,62458
35106,63718
35107,60426
35108,70166
35109,76681
35110,73068
35111,73694
35112,77951
35113,89263
35114,91475
35115,74854
35116,86671
35117,84452
35118,63905
35119,75330
35120,70026
35121,60677
46001,60151
46002,63294
46003,48306
46004,62773
46005,64959
46006,61370
46007,61953
46008,64270
46009,65441
46010,70917
46011,55390
46012,57328
46013,63419
46014,69371
47001,49447
47002,50237
47003,43865
47004,54614
47005,57137
47006,56268
47007,63560
47008,52728
47009,56483
47010,58529
47011,56909
47012,55525
47013,51850
47014,53513
48001,90480
48002,80259
48003,74806
48004,84247
48005,88208
48006,74459
48007,79866
48008,86833
48009,81151
48010,86732
48011,96207
48012,84255
48013,73291
48014,77600
48015,79617
48016,79659
48017,72974
48018,80441
48019,75808
48020,78985
48021,97621
48022,81674
48023,75529
48024,79989
48025,78806
48026,81794
48027,76482
48028,74945
48029,86322
48030,85865
48031,83261
48032,88430
48033,84396
48034,73357
59001,67752
59002,73614
59003,74764
59004,77881
59005,85651
59006,71233
59007,76517
59008,83488
59009,90327
59010,79682
59011,73853
59012,73678
59013,93261
59014,88296
59015,84966
59016,81379
59017,61967
59018,92909
59019,78575
59020,95627
59021,83365
59022,71274
59023,78163
59024,75724
59025,68622
59026,88665
59027,85177
59028,63061
59029,89887
59030,75570
59031,71095
59032,69893
59033,64072
59034,85757
59035,86914
59036,78377
59037,80207
59038,70677
59039,74128
59040,69485
59041,91822
59042,88578
60001,25941
61001,29192
62001,19047
